mal_id,title_english,type,source,episodes,duration,rating,score,scored_by,rank,popularity,members,favorites,year,demographics,studios,genres,themes
67,Basilisk,TV,Manga,24,24,R - 17+ (violence & profanity),7.54,82197,2057,1376,203971,1469,2005,['Seinen'],['Gonzo'],"['Action', 'Drama', 'Romance']","['Adult Cast', 'Gore', 'Historical', 'Martial Arts', 'Samurai']"
68,Black Cat,TV,Manga,23,24,PG-13 - Teens 13 or older,7.32,133852,3158,994,283448,1856,2005,['Shounen'],['Gonzo'],"['Action', 'Adventure', 'Sci-Fi']",['Super Power']
69,,TV,Original,25,24,PG-13 - Teens 13 or older,6.44,3462,8517,6781,11953,15,2005,[],['Sunrise'],"['Action', 'Fantasy', 'Sci-Fi']",['Military']
71,Full Metal Panic!,TV,Light novel,24,24,R - 17+ (violence & profanity),7.59,251965,1842,478,531909,4499,2002,[],['Gonzo'],['Comedy'],"['Mecha', 'Military']"
72,Full Metal Panic? Fumoffu,TV,Light novel,12,24,PG-13 - Teens 13 or older,8.02,181981,719,907,312132,3023,2003,[],['Kyoto Animation'],"['Action', 'Comedy']","['Gag Humor', 'School']"
73,Full Metal Panic! The Second Raid,TV,Light novel,13,24,R - 17+ (violence & profanity),7.92,154060,892,1032,273905,1310,2005,[],['Kyoto Animation'],[],"['Mecha', 'Military']"
74,Gakuen Alice,TV,Manga,26,25,G - All Ages,7.67,54463,1551,2285,107251,1516,2004,['Shoujo'],['Group TAC'],['Comedy'],"['School', 'Super Power']"
75,Fafner,TV,Original,25,24,PG-13 - Teens 13 or older,7.33,16567,3148,3483,53368,278,2004,[],['Xebec'],"['Drama', 'Sci-Fi']","['Mecha', 'Military']"
76,Magical Girl Lyrical Nanoha,TV,Original,13,25,PG-13 - Teens 13 or older,7.44,44650,2544,2226,111461,1093,2004,[],['Seven Arcs'],"['Action', 'Comedy', 'Drama']",['Mahou Shoujo']
77,Magical Girl Lyrical Nanoha A's,TV,Original,13,25,PG-13 - Teens 13 or older,7.98,35929,792,2995,69974,1025,2005,[],['Seven Arcs'],"['Action', 'Comedy', 'Drama']",['Mahou Shoujo']
79,Shuffle!,TV,Visual novel,24,24,R+ - Mild Nudity,7.01,139914,5127,954,293592,1524,2005,[],['asread.'],"['Comedy', 'Fantasy', 'Romance', 'Ecchi']","['Harem', 'School', 'Urban Fantasy']"
80,Mobile Suit Gundam,TV,Original,43,24,PG-13 - Teens 13 or older,7.79,69040,1214,1758,152297,2742,1979,[],['Sunrise'],"['Drama', 'Sci-Fi']","['Mecha', 'Military', 'Space']"
81,Mobile Suit Gundam: The 08th MS Team,OVA,Original,12,24,PG-13 - Teens 13 or older,8.01,52061,735,2485,94700,1230,,[],['Sunrise'],"['Drama', 'Romance', 'Sci-Fi']","['Mecha', 'Military']"
82,Mobile Suit Gundam 0080: War in the Pocket,OVA,Original,6,27,PG-13 - Teens 13 or older,8.04,39336,695,2974,70904,1236,,[],['Sunrise'],"['Drama', 'Sci-Fi']","['Mecha', 'Military', 'Space']"
83,Mobile Suit Gundam: The 08th MS Team - Miller's Report,Movie,Original,1,52,PG-13 - Teens 13 or older,6.73,7349,6752,6173,15044,6,,[],['Sunrise'],"['Drama', 'Romance', 'Sci-Fi']","['Mecha', 'Military']"
84,Mobile Suit Gundam 0083: Stardust Memory,OVA,Original,13,28,PG-13 - Teens 13 or older,7.25,29529,3641,3520,52389,282,,[],['Sunrise'],"['Drama', 'Romance', 'Sci-Fi']","['Mecha', 'Military', 'Space']"
85,Mobile Suit Zeta Gundam,TV,Original,50,24,PG-13 - Teens 13 or older,7.93,45531,864,2591,88435,2734,1985,[],['Sunrise'],"['Drama', 'Romance', 'Sci-Fi']","['Mecha', 'Military', 'Space']"
